StateName,DistrictName,count
A AND N ISLANDS,NICOBAR,786
A AND N ISLANDS,NORTH AND MIDDLE ANDAMAN,519
A AND N ISLANDS,SOUTH ANDAMAN,242
ANDHRA PRADESH,KURNOOL,376249
ANDHRA PRADESH,ANANTPUR,187625
ANDHRA PRADESH,PRAKASAM,103675
ANDHRA PRADESH,KRISHNA,100676
ANDHRA PRADESH,NELLORE,91120
ANDHRA PRADESH,GUNTUR,87591
ANDHRA PRADESH,CHITTOOR,76579
ANDHRA PRADESH,Y S R,59617
ANDHRA PRADESH,EAST GODAVARI,54530
ANDHRA PRADESH,WEST GODAVARI,51195
ANDHRA PRADESH,VISAKHAPATNAM,32820
ANDHRA PRADESH,SRIKAKULAM,32152
ANDHRA PRADESH,VIZIANAGARM,27135
ARUNACHAL PRADESH,TAWANG,355
ARUNACHAL PRADESH,LOHIT,258
ARUNACHAL PRADESH,PAPUMPARE,253
ARUNACHAL PRADESH,CHANGLANG,232
ARUNACHAL PRADESH,ANJAW,199
ARUNACHAL PRADESH,WEST SIANG,125
ARUNACHAL PRADESH,LOWER SUBABSIRI,118
ARUNACHAL PRADESH,EAST SIANG,111
ARUNACHAL PRADESH,EAST KAMENG,97
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,95
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,79
ARUNACHAL PRADESH,WEST KAMENG,78
ARUNACHAL PRADESH,TIRAP,54
ARUNACHAL PRADESH,UPPER SIANG,42
ARUNACHAL PRADESH,UPPER SUBANSIRI,40
ARUNACHAL PRADESH,LONGDING,16
ARUNACHAL PRADESH,KURUNG KUMEY,12
ASSAM,KAMRUP,24432
ASSAM,NAGAON,18513
ASSAM,JORHAT,17075
ASSAM,GOLAGHAT,15622
ASSAM,SIVASAGAR,15066
ASSAM,LAKHIMPUR,14899
ASSAM,DIBRUGARH,14700
ASSAM,BARPETA,14152
ASSAM,DARRANG,12981
ASSAM,MARIGOAN,10713
ASSAM,DHEMAJI,10200
ASSAM,DHUBRI,9997
ASSAM,SONITPUR,9644
ASSAM,NALBARI,9506
ASSAM,TINSUKIA,6899
ASSAM,GOALPARA,6214
ASSAM,CACHAR,5778
ASSAM,BAKSA,5687
ASSAM,KARBI-ANGLONG,4706
ASSAM,UDALGURI,4482
ASSAM,BONGAIGAON,4203
ASSAM,KARIMGANJ,3208
ASSAM,KOKRAJHAR,3127
ASSAM,HAILAKANDI,2125
ASSAM,KAMRUP METROPOLITAN,1876
ASSAM,CHIRANG,998
ASSAM,NORTH CACHAR HILLS,216
BIHAR,SAMASTIPUR,141017
BIHAR,PATNA,120398
BIHAR,ROHTAS,108220
BIHAR,MUZAFFARPUR,99343
BIHAR,MADHUBANI,97867
BIHAR,GAYA,93944
BIHAR,ARARIA,90403
BIHAR,PURNEA,88486
BIHAR,VAISHALI,86547
BIHAR,NALANDA,79643
BIHAR,DARBHANGA,75756
BIHAR,SITAMARHI,75437
BIHAR,AURANGABAD,69808
BIHAR,BHAGALPUR,66190
BIHAR,PASHCHIM CHAMPARAN,65910
BIHAR,BANKA,63897
BIHAR,SARAN,63390
BIHAR,BHOJPUR,62846
BIHAR,KATIHAR,58527
BIHAR,KAIMUR,58378
BIHAR,MADHEPURA,57679
BIHAR,BEGUSARAI,57545
BIHAR,SUPAUL,56836
BIHAR,PURBA CHAMPARAN,56041
BIHAR,SAHARSA,50020
BIHAR,BUXAR,42948
BIHAR,SIWAN,42089
BIHAR,GOPALGANJ,38627
BIHAR,NAWADHA,37917
BIHAR,JAMUI,35225
BIHAR,KHAGARIA,33136
BIHAR,JEHANABAD,30616
BIHAR,MUNGER,28989
BIHAR,LAKHISARIA,24436
BIHAR,ARWAL,20275
BIHAR,SHEOHAR,19045
BIHAR,KISHANGANJ,16448
BIHAR,SHEKHPURA,14290
CHHATTISGARH,RAIGARH,48895
CHHATTISGARH,RAJ NANDGAON,48610
CHHATTISGARH,JANJGIR-CHAMPA,39176
CHHATTISGARH,BILASPUR,34010
CHHATTISGARH,MAHASAMUND,33478
CHHATTISGARH,BEMETARA,30356
CHHATTISGARH,DURG,30101
CHHATTISGARH,SURGUJA,26896
CHHATTISGARH,KABEERDHAM,24780
CHHATTISGARH,RAIPUR,24700
CHHATTISGARH,BALODABAZAR,22535
CHHATTISGARH,BALOD,17190
CHHATTISGARH,DHAMTARI,16905
CHHATTISGARH,UTTAR BASTAR KANKER,14830
CHHATTISGARH,SURAJPUR,12748
CHHATTISGARH,BALRAMPUR,12574
CHHATTISGARH,JASHPUR,10833
CHHATTISGARH,KORBA,9810
CHHATTISGARH,MUNGELI,8046
CHHATTISGARH,BASTAR,7689
CHHATTISGARH,GARIYABAND,6897
CHHATTISGARH,KORIYA,6751
CHHATTISGARH,KONDAGAON,5013
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,999
CHHATTISGARH,BIJAPUR,616
CHHATTISGARH,NARAYANPUR,330
CHHATTISGARH,SUKMA,271
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,43
DAMAN AND DIU,DAMAN,318
DAMAN AND DIU,DIU,25
DELHI,NEW DELHI CONNAUGHT PLACE,56702
DELHI,EAST DELHI PREET VIHAR,30486
DELHI,CENTRAL DELHI DARYAGANJ,13158
DELHI,SOUTH WEST DELHI DWARKA,9434
DELHI,NORTH DELHI NARELA,8708
DELHI,SOUTH DELHI SAKET,6856
DELHI,NORTH EAST DELHI SEELAMPUR,5743
DELHI,NORTH WEST DELHI KANJHAWALA,4771
DELHI,WEST DELHI RAJOURI GARDEN,4129
GOA,GOA SOUTH,139
GOA,GOA NORTH,44
GUJARAT,BANAS KANTHA,287114
GUJARAT,JUNAGADH,198619
