date,count
2006-01-01,110
2006-08-01,2
2007-01-01,92
2007-05-01,2
2007-06-01,1
2008-04-01,1
2008-05-01,1
2008-07-01,11
2008-08-01,2
2008-11-01,1
2008-12-01,137
2009-01-01,33942
2009-02-01,50144
2009-03-01,55880
2009-04-01,79717
2009-05-01,48907
2009-06-01,56131
2009-07-01,59558
2009-08-01,57213
2009-09-01,53187
2009-10-01,23422
2009-11-01,40648
2009-12-01,31635
2010-01-01,44794
2010-02-01,46727
2010-03-01,54870
2010-04-01,54205
2010-05-01,54592
2010-06-01,56233
2010-07-01,61162
2010-08-01,63341
2010-09-01,71363
2010-10-01,68790
2010-11-01,64352
2010-12-01,52241
2011-01-01,52180
2011-02-01,45219
2011-03-01,51861
2011-04-01,46281
2011-05-01,53351
2011-06-01,66473
2011-07-01,66701
2011-08-01,63586
2011-09-01,62369
2011-10-01,50334
2011-11-01,54593
2011-12-01,52903
2012-01-01,59305
2012-02-01,36323
2012-03-01,23665
2012-04-01,15027
2012-05-01,59448
2012-06-01,94937
2012-07-01,128415
2012-08-01,131240
2012-09-01,107074
2012-10-01,104788
2012-11-01,140347
2012-12-01,189907
2013-01-01,208115
2013-02-01,162386
2013-03-01,174541
2013-04-01,167798
2013-05-01,164470
2013-06-01,152974
2013-07-01,176555
2013-08-01,182279
2013-09-01,175993
2013-10-01,129654
2013-11-01,152713
2013-12-01,148362
2014-01-01,173361
2014-02-01,207372
2014-03-01,180881
2014-04-01,215411
2014-05-01,237234
2014-06-01,214327
2014-07-01,279942
2014-08-01,159071
2014-09-01,234236
2014-10-01,267586
2014-11-01,240723
2014-12-01,265995
2015-01-01,242439
2015-02-01,205854
2015-03-01,287950
2015-04-01,311587
2015-05-01,309189
2015-06-01,335942
2015-07-01,347062
2015-08-01,342850
2015-09-01,352403
2015-10-01,346796
2015-11-01,310531
2015-12-01,312878
2016-01-01,304435
2016-02-01,296590
2016-03-01,337317
2016-04-01,294732
2016-05-01,292814
2016-06-01,403728
2016-07-01,458150
2016-08-01,459862
2016-09-01,413269
2016-10-01,366505
2016-11-01,263637
2016-12-01,301735
2017-01-01,310222
2017-02-01,252115
2017-03-01,292248
2017-04-01,257027
2017-05-01,298952
2017-06-01,400814
2017-07-01,441262
2017-08-01,459484
2017-09-01,434778
2017-10-01,309727
2017-11-01,263277
2017-12-01,283611
2018-01-01,244267
2018-02-01,176719
2018-03-01,226420
2018-04-01,214691
2018-05-01,238997
2018-06-01,332738
2018-07-01,402612
2018-08-01,373944
2018-09-01,283684
2018-10-01,251179
2018-11-01,228033
2018-12-01,223357
2019-01-01,301470
2019-02-01,288752
2019-03-01,284919
2019-04-01,260187
2019-05-01,270240
2019-06-01,414369
2019-07-01,599401
2019-08-01,598258
2019-09-01,541725
2019-10-01,473788
2019-12-01,403561
2020-01-01,519773
2020-02-01,408551
2020-03-01,328186
2020-05-01,1
2020-06-01,188928
2020-07-01,227058
2020-08-01,259501
2020-09-01,258030
2020-10-01,217074
2020-11-01,158891
2020-12-01,204924
2021-01-01,213380
2021-02-01,37408
2021-03-01,268839
2021-04-01,168530
2021-05-01,31346
2021-06-01,25849
2021-08-01,66361
2021-09-01,307433
2021-10-01,288338
2021-11-01,208990
2021-12-01,317081
2022-01-01,428774
2022-02-01,265727
2022-03-01,218216
2022-04-01,182517
2022-05-01,192463
2022-06-01,252487
2022-07-01,312201
2022-08-01,288662
2022-09-01,276992
2022-10-01,328177
2022-11-01,258046
2022-12-01,279692
2023-01-01,276688
2023-02-01,216916
2023-03-01,335651
2023-04-01,225324
2023-05-01,225687
2023-06-01,304613
2023-07-01,390463
2023-08-01,342034
2023-09-01,306301
2023-10-01,269217
2023-11-01,260337
2023-12-01,272898
2024-01-01,250819
2024-02-01,274899
2024-03-01,260309
2024-04-01,202020
2024-05-01,192207
2024-06-01,334186
2024-07-01,395761
2024-08-01,322247
2024-09-01,273033
2024-10-01,290656
2024-11-01,204896
2024-12-01,233028
2025-01-01,291841
2025-02-01,357409
2025-03-01,135438
2025-04-01,156296
2025-05-01,172198
2025-06-01,219517
2025-07-01,249052
