Crop,count
Others,18911441
Paddy Dhan,3487358
Wheat,2861703
Cotton Kapas,1433497
Chillies,652984
Onion,652693
Groundnut pea nutmung phalli,563901
Soybean bhat,529621
Sugarcane Noble Cane,528986
Brinjal,525990
Tomato,517695
Bengal Gram GramChick PeaKabuliChana,502318
Mustard,500250
Potato,450097
Maize Makka,423823
Green Gram Moong Bean Moong,423056
Mango,366369
BhindiOkraLadysfinger,312414
Pearl Millet BajraBulrush MilletSpiked Millet,299844
Black Gram urd bean,299587
9999,291800
Apple,285203
1137,273587
0,262901
BovineCowBuffalo,253519
Pigeon pea red gramarhartur,238311
Guar,233163
Banana,221516
Cumin,219875
Coconut,193210
Garlic,181605
Pomegranate,168809
Cucumber,155072
Pea Vegetable,152807
Sesame GingellyTilSesamum,148973
Bottle Gourd ,138539
Bitter Gourd,137847
Citrus,137681
Papaya,133496
Paddy (Dhan),130139
Cauliflower,122375
Coriander,115547
Lemon,114836
Watermelon,104889
Guava,102489
Turmeric,101372
Sunnhemp Patua,98467
Indian rapeseed and mustard yellow sarson,98050
Castor Rehri Rendi Arandi ,97492
1280,96230
