year,Crop Production Practices,Crop Protection & Inputs,Fisheries & Aquaculture,Government Schemes & Insurance,Livestock & Dairy,Machinery & Infrastructure,Markets & Post-Harvest,Others,"Training, Nursery & Horticulture",Unclassified,Weather & Climate
2006,10.71,84.82,0.0,0.0,2.68,0.0,0.0,1.79,0.0,0.0,0.0
2007,31.58,43.16,0.0,0.0,1.05,7.37,5.26,7.37,0.0,0.0,4.21
2008,13.07,54.9,0.0,1.96,1.31,0.0,11.11,11.76,0.0,0.0,5.88
2009,10.55,35.67,0.0,1.97,2.45,0.25,3.22,39.94,0.0,0.0,5.96
2010,21.29,59.54,0.0,1.51,0.92,1.16,3.67,7.08,0.01,0.0,4.81
2011,19.08,63.18,0.0,1.51,0.7,0.7,3.4,7.03,0.0,0.0,4.39
2012,16.78,56.8,0.0,1.59,0.88,0.14,4.65,9.63,0.0,0.0,9.53
2013,13.44,42.26,0.15,1.88,0.45,0.94,3.79,3.2,0.09,23.74,10.05
2014,11.42,37.92,0.25,2.23,0.3,1.22,2.94,0.19,0.07,21.08,22.38
2015,10.55,39.2,0.16,5.38,0.23,1.05,4.15,0.26,0.07,0.0,38.95
2016,12.12,31.06,0.11,5.12,0.2,0.53,3.39,0.3,0.09,0.0,47.08
2017,11.41,24.12,0.13,4.59,0.3,0.51,3.06,0.25,0.08,0.0,55.55
2018,7.8,21.2,0.09,4.42,0.17,0.38,2.54,0.22,0.09,9.24,53.84
2019,7.96,29.01,0.1,13.42,0.12,0.38,2.9,0.34,0.12,0.0,45.65
2020,9.73,32.95,0.11,19.99,0.11,0.42,3.1,0.37,0.16,0.0,33.07
2021,10.95,31.49,0.07,17.85,0.09,0.33,4.08,0.26,0.13,0.0,34.75
2022,8.89,29.13,0.08,22.16,0.06,0.32,4.52,0.21,0.1,0.0,34.53
2023,8.44,26.52,0.05,21.29,0.05,0.32,3.16,0.2,0.09,0.0,39.88
2024,15.59,30.99,0.05,21.9,0.06,0.26,2.75,0.19,0.12,0.0,28.09
2025,22.7,27.51,0.03,27.13,0.07,0.27,3.48,0.28,0.12,1.2,17.19
