QueryType,Count,Percentage
3,376561,8.52
9999,291800,6.6
76,274129,6.2
0,256007,5.79
75,255129,5.77
2,245453,5.55
5,240736,5.45
29,222076,5.02
22,100285,2.27
78,84512,1.91
Vegetative Propagation and Tissue Culture,70728,1.6
6,67188,1.52
1,62118,1.41
99,61127,1.38
102,49435,1.12
74,45042,1.02
19,31480,0.71
21,30160,0.68
87,26632,0.6
15,26280,0.59
8,18096,0.41
45,17838,0.4
26,16344,0.37
18,15888,0.36
92,15543,0.35
85,14088,0.32
95,11651,0.26
Spices and Condiment Crops,10362,0.23
27,10212,0.23
9,9174,0.21
12,8727,0.2
100,8103,0.18
20,7634,0.17
Integrated Farming,7609,0.17
93,7581,0.17
43,4871,0.11
91,4507,0.1
88,4454,0.1
89,3272,0.07
16,3054,0.07
Beekeeping,2936,0.07
50,2735,0.06
94,2719,0.06
Poultry,2650,0.06
36,2438,0.06
Artificial Insemination,2416,0.05
10,2153,0.05
Plasticulture,2085,0.05
38,2069,0.05
44,1999,0.05
40,1988,0.04
Landscaping,1987,0.04
61,1882,0.04
NA (Not Applicable),1793,0.04
31,1710,0.04
Others,1673,0.04
32,1575,0.04
11,1428,0.03
OldSenile Orchard Rejuvenation,1176,0.03
60,1119,0.03
Cultivation Conditions,1089,0.02
58,1062,0.02
84,1047,0.02
83,798,0.02
34,737,0.02
Insect Management,708,0.02
51,667,0.02
56,658,0.01
57,642,0.01
Management,618,0.01
33,504,0.01
52,423,0.01
39,394,0.01
90,386,0.01
17,309,0.01
53,286,0.01
Varities,214,0.0
Feed,168,0.0
37,151,0.0
55,139,0.0
Varietal Selection,109,0.0
54,83,0.0
	Cultivation Conditions	,35,0.0
49,30,0.0
Dosage,30,0.0
46,25,0.0
48,24,0.0
	Others	,22,0.0
Old/Senile Orchard Rejuvenation,20,0.0
47,18,0.0
Hormone Imbalance Management,16,0.0
59,14,0.0
Abiotic Stress Management,13,0.0
Harvesting Management,7,0.0
Method Of Propagation- Others,4,0.0
Hormonic Imbalance,2,0.0
	Management	,2,0.0
	Dosage	,2,0.0
	Varities	,1,0.0
Vaccine - Viral,1,0.0
