QueryType,Count,Percentage
Weather,15103606,35.85
Plant Protection,9750747,23.15
Government Schemes,4672958,11.09
Varieties,2034997,4.83
Cultural Practices,1760172,4.18
Nutrient Management,1631759,3.87
Fertilizer Use and Availability,1483578,3.52
Market Information,1351645,3.21
Weed Management,805779,1.91
Noisy Data,493097,1.17
Water Management,441346,1.05
Field Preparation,357081,0.85
Sowing Time and Weather,337977,0.8
Bio-Pesticides and Bio-Fertilizers,244025,0.58
Training and Exposure Visits,214565,0.51
Agriculture Mechanization,197038,0.47
Crop Insurance,186906,0.44
Soil Testing,141567,0.34
Credit,114755,0.27
Disease Management,96003,0.23
Vegetative Propagation and Tissue Culture,70728,0.17
Post Harvest Preservation,63898,0.15
Dairy Production,61627,0.15
Organic Farming,53760,0.13
Water Management Micro Irrigation,50054,0.12
Animal Husbandry,38896,0.09
Animal Breeding,33646,0.08
Nursery Management,31285,0.07
Animal Production Piggery Goatery Sheep Farming etc,29362,0.07
Tank Pond and Reservoir Management,28376,0.07
Animal Nutrition,27433,0.07
Cattle shed Planning and Management,19388,0.05
Disease Reporting,17593,0.04
Soil Health Card,17172,0.04
Storage,16952,0.04
Livestock Products Processing and Packaging,13286,0.03
Power Roads etc,13242,0.03
"Water Management, Micro Irrigation",10809,0.03
Spices and Condiment Crops,10362,0.02
Post Harvest Management Cleaning Grading Packaging Food Processing Cool Chain etc,9652,0.02
Integrated Farming,7609,0.02
Fishery Nutrition,7497,0.02
Mushroom Production,6932,0.02
Floriculture,5684,0.01
Water Testing for Fish Production,4317,0.01
Fish Fingerling Production,4233,0.01
Medicinal and Aromatic Plants,3875,0.01
Cold Storage,3632,0.01
Fishery Mechanization,3597,0.01
Fish  Marketing,3426,0.01
Beekeeping,2936,0.01
"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",2912,0.01
Breeding and culture of ornamental fish,2791,0.01
Poultry,2650,0.01
Artificial Insemination,2416,0.01
Coastal Aquaculture,2357,0.01
Plasticulture,2085,0.0
Landscaping,1987,0.0
NA (Not Applicable),1793,0.0
Breeding of freshwater prawn,1637,0.0
OldSenile Orchard Rejuvenation,1176,0.0
Cultivation Conditions,1124,0.0
Training,1064,0.0
Freshwater Pearl Farming,1020,0.0
Fish Dressing   Drying,967,0.0
Nutrient Deficiency/Excessiveness Management,901,0.0
Freshwater pearl culture,817,0.0
Insect Management,708,0.0
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",690,0.0
Management,620,0.0
Magur Breeding and Culture,542,0.0
Deep Sea Fishing and Processing,453,0.0
Disease,383,0.0
Fishing Harbours and Landing Centre,367,0.0
"Tank, Pond and Reservoir Management",350,0.0
"Power, Roads etc.",317,0.0
Seaweed Cultivation,308,0.0
Pathogenic Disease Management,302,0.0
Loans,265,0.0
Varities,215,0.0
Feed,168,0.0
Seed Sowing And Treatment,131,0.0
Varietal Selection,109,0.0
Horticulture,61,0.0
Dosage,32,0.0
Irrigation Management,32,0.0
Freshwater Pearl Farming.,22,0.0
Old/Senile Orchard Rejuvenation,20,0.0
Hormone Imbalance Management,16,0.0
Post Harvest Management - Biotic,14,0.0
Abiotic Stress Management,13,0.0
Post Harvest Management - Abiotic,10,0.0
Harvesting Management,7,0.0
Disease (Viral),2,0.0
Hormonic Imbalance,2,0.0
Disease (Bacterial),2,0.0
Vaccine - Viral,1,0.0
Problem Of Soil,1,0.0
Breeding -Inbreeding,1,0.0
Disease - External Parasitic,1,0.0
