StateName,0,1137,9999,Apple,Bengal Gram GramChick PeaKabuliChana,BhindiOkraLadysfinger,Black Gram urd bean,BovineCowBuffalo,Brinjal,Chillies,Cotton Kapas,Green Gram Moong Bean Moong,Groundnut pea nutmung phalli,Maize Makka,Mango,Mustard,Onion,Others,Paddy Dhan,Pearl Millet BajraBulrush MilletSpiked Millet,Potato,Soybean bhat,Sugarcane Noble Cane,Tomato,Wheat
ANDHRA PRADESH,3495.0,9739.0,2926.0,83.0,9019.0,9487.0,31806.0,3146.0,13469.0,127238.0,99946.0,10229.0,62006.0,26664.0,17144.0,162.0,17683.0,475448.0,127695.0,1147.0,524.0,753.0,2737.0,26828.0,215.0
BIHAR,88665.0,7239.0,2020.0,333.0,9737.0,27738.0,1220.0,16761.0,35756.0,15255.0,119.0,15585.0,1087.0,48592.0,66229.0,11731.0,20069.0,1401674.0,150763.0,310.0,27051.0,1078.0,5442.0,12085.0,106840.0
GUJARAT,10520.0,2387.0,18940.0,125.0,45138.0,11801.0,11348.0,7061.0,16088.0,26687.0,181027.0,19530.0,123122.0,10138.0,18571.0,12790.0,26000.0,942249.0,14536.0,19078.0,9316.0,11153.0,3113.0,8671.0,53878.0
HARYANA,8552.0,13163.0,12563.0,218.0,9968.0,12077.0,2430.0,19777.0,7773.0,12267.0,269259.0,20003.0,5358.0,8380.0,5336.0,89700.0,23518.0,1565258.0,259134.0,27053.0,16291.0,676.0,20072.0,18079.0,412014.0
HIMACHAL PRADESH,1022.0,2300.0,2736.0,131458.0,373.0,5022.0,1099.0,10238.0,2623.0,1987.0,80.0,285.0,132.0,8649.0,3307.0,904.0,8707.0,165899.0,5518.0,110.0,11579.0,374.0,571.0,49622.0,30068.0
JAMMU AND KASHMIR,2174.0,3779.0,8737.0,148961.0,119.0,1241.0,682.0,4233.0,1069.0,2778.0,20.0,281.0,168.0,3231.0,773.0,1271.0,3117.0,269186.0,8915.0,60.0,2439.0,53.0,131.0,3300.0,11894.0
KARNATAKA,2741.0,9630.0,32901.0,235.0,13243.0,2603.0,4849.0,4739.0,8807.0,25999.0,57086.0,7400.0,22174.0,41696.0,6067.0,132.0,32861.0,1084812.0,18600.0,816.0,2682.0,6728.0,21458.0,22078.0,4306.0
MADHYA PRADESH,6755.0,8011.0,28979.0,115.0,110892.0,25936.0,40136.0,16979.0,23556.0,40021.0,22126.0,71458.0,26169.0,41474.0,10109.0,34007.0,106106.0,2069490.0,128983.0,2942.0,22427.0,278207.0,8514.0,50766.0,300046.0
MAHARASHTRA,8303.0,1942.0,26412.0,366.0,110560.0,44022.0,9565.0,12311.0,76765.0,79807.0,458773.0,14931.0,52117.0,44839.0,28736.0,527.0,192945.0,2373688.0,16339.0,6743.0,10781.0,165949.0,118805.0,61993.0,67423.0
ODISHA,3294.0,9812.0,7963.0,340.0,1083.0,39983.0,7806.0,11225.0,120757.0,39926.0,13450.0,37147.0,13748.0,4586.0,14971.0,3549.0,14484.0,531842.0,315463.0,40.0,10984.0,187.0,2501.0,43484.0,1500.0
PUNJAB,9665.0,42058.0,18311.0,90.0,2194.0,8327.0,1568.0,7258.0,5444.0,8625.0,75545.0,17765.0,943.0,20845.0,3794.0,10279.0,12316.0,1022481.0,594323.0,523.0,17701.0,408.0,10941.0,3509.0,530945.0
RAJASTHAN,13912.0,1216.0,37940.0,320.0,124709.0,25645.0,18863.0,24090.0,26000.0,62222.0,166156.0,144711.0,133072.0,19028.0,21420.0,178620.0,71652.0,2455863.0,17339.0,199723.0,9156.0,47983.0,2548.0,58743.0,277889.0
TAMILNADU,2214.0,30946.0,6462.0,136.0,1024.0,20102.0,71292.0,19027.0,51095.0,41215.0,52424.0,6746.0,72404.0,41352.0,20489.0,25.0,43380.0,478331.0,314933.0,4679.0,818.0,707.0,27534.0,28515.0,327.0
UTTAR PRADESH,21931.0,85659.0,44044.0,423.0,44688.0,37341.0,83897.0,65379.0,51093.0,74481.0,6677.0,45858.0,37660.0,76393.0,102600.0,127677.0,44627.0,2941318.0,1008100.0,35377.0,191427.0,7925.0,282872.0,57985.0,991962.0
WEST BENGAL,69716.0,18512.0,5630.0,279.0,1880.0,13536.0,2542.0,2025.0,47276.0,28761.0,46.0,2786.0,5867.0,6666.0,20988.0,17566.0,20129.0,288127.0,252986.0,27.0,94070.0,169.0,1202.0,14512.0,8251.0
