Crop,Question Theme,Count,Percentage
Others,infortion about pm kisan samman nidhi yojana,444664,15.121853510529872
Others,weather information,354222,12.046158884476622
Others,farmer asked query on weather,217645,7.401534208524356
Others,give me weather information,182333,6.200665932334174
Others,mausam ki jankari,146981,4.998437361313691
Paddy Dhan,farmer asked query on weather,171319,16.997534489857674
Paddy Dhan,diseasein paddy crop,97140,9.637813087542972
Paddy Dhan,information about a variety of paddy,67984,6.745080141481588
Paddy Dhan,nformation about weed control in paddy,58278,5.782092558326429
Paddy Dhan,insect  control  in paddy,45568,4.521061012694648
Wheat,farmer asked query on weather,170981,17.226645226681498
Wheat,informaion about of wheat crop variety,136951,13.798061132168241
Wheat,tell me weed control in wheat crop,75595,7.616333077423736
Wheat,information about weather forecast of block in districtjaunpur,51770,5.21592120402443
Wheat,information about fertilizer dose im wheat crop,42274,4.259182016204921
Sugarcane Noble Cane,information about in sugarcane crop,117030,41.37762786652242
Sugarcane Noble Cane,ganne me keeda laga raha hai,34541,12.212463848052215
Sugarcane Noble Cane,farmer asked query on weather,25470,9.005282250365939
Sugarcane Noble Cane,information about control of top borer and stem borer in sugarcane crop,25398,8.979825622096353
Sugarcane Noble Cane,dhan ki kaun c kism ki buayi kare,10110,3.5745348861876582
Potato,information about the control of blight potato in crop,78227,38.95398343782212
Potato,farmer asked query on weather,25726,12.81054083527953
Potato,dhan ki kaun c kism ki buayi kare,11311,5.63243517794631
Potato,information about fertilizer dose im wheat crop,8370,4.167932317161225
Potato,information about weather forecast of block in districtjaunpur,7688,3.8283230172443847
Mustard,information about in mustard crop,64851,50.754854311943845
Mustard,farmer asked query on weather,17846,13.966957025349643
Mustard,information about weather forecast of block in districtjaunpur,6164,4.824180382396907
Mustard,give information about weather forecast of blockbilsi in districtbudaun,4489,3.5132618002238347
Mustard,dhan ki kaun c kism ki buayi kare,4484,3.509348610426303
Mango,plant portection in mango,74557,62.997042670046476
Mango,aame ki pati kala ho raha hai,10552,8.915927334178285
Mango,dhan ki kaun c kism ki buayi kare,6482,5.476975073933249
Mango,dhan me ki kida laga hai,6374,5.385720321081537
Mango,dhan ki baliya nahi nikal rahi  hai kya kare,3820,3.2277144064216308
Paddy (Dhan),farmer asked query on weather,23669,20.216609581728264
Paddy (Dhan),information about a variety of paddy,10237,8.743818170947325
Paddy (Dhan),dhan me ki kida laga hai,9368,8.001571615261751
Paddy (Dhan),insect  control  in paddy,7912,6.757945625528499
Paddy (Dhan),diseasein paddy crop,7486,6.3940825268840165
